day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
13,June,2012,35,69,14,0.2,90.1,19.1,76.4,8.3,20.6,1.4,fire
12,September,2012,34,47,13,1.8,78.8,9.4,49.8,3.2,10.8,15.2,not fire
7,June,2012,27,67,21,1.4,67.9,2.3,17,2.7,2.7,0,not fire
12,July,2012,37,54,16,0.1,94.5,39.6,16,15.5,44.6,20.3,fire
23,August,2012,34,79,17,1.9,85.4,12.2,6.9,2.9,13.4,1,fire
9,June,2012,35,33,16,1.5,90.8,17.6,9.8,8.2,17.7,0.7,fire
16,August,2012,32,44,17,0.6,83.0,15.9,57,7.1,18.7,18.1,fire
22,July,2012,32,83,18,0.0,89.0,38.1,151.3,9.3,47.6,0.3,fire
10,June,2012,29,67,19,2.3,69.6,11.2,46.4,4.1,15.4,1.7,not fire
19,July,2012,26,58,20,5.2,53.9,3.9,41.5,1.3,4.4,0.5,not fire
20,June,2012,31,48,15,2.4,70.2,13.0,79.7,3.2,16.9,7.1,not fire
24,August,2012,28,66,18,2.3,78.4,21.5,8.7,7.4,22.8,10.6,not fire
9,September,2012,25,89,18,0.3,74.6,4.3,92.8,2.1,6.5,8.8,fire
28,June,2012,32,63,15,0.1,87.6,23.9,26.6,5.2,28.2,15.2,fire
21,August,2012,38,40,17,1.2,90.3,9.3,27.3,9.2,9.0,9.1,not fire
8,August,2012,31,74,17,2.2,60.9,1.2,28.1,1.3,2.1,7.7,not fire
17,June,2012,30,58,15,1.7,86.2,10.1,14.6 9,5.8,11.4,15,not fire
27,September,2012,29,46,14,2.4,69.3,19.8,24.3,3.4,21.5,0.7,fire
3,August,2012,28,76,18,0.5,71.1,3.5,39.5,2.2,7.2,9.8,fire
16,September,2012,26,78,14,1.9,57.5,7.6,6.9,0.9,10.7,0.5,not fire
10,July,2012,32,38,17,2.4,75.4,23.5,26.3,5.9,25.4,6.8,not fire
7,August,2012,32,67,14,0.3,67.4,15.0,63.3,3.1,20.2,0,fire
12,June,2012,31,68,12,0.2,85.9,5.6,28.3,4.2,7.7,16,fire
24,June,2012,33,60,16,1.9,82.8,7.5,46.3,2.9,10.2,0.6,not fire
5,June,2012,29,49,16,2.1,65.6,9.6,14.6 9,4.0,11.6,4.2,not fire
3,June,2012,35,58,13,2.6,86.4,3.9,19.4,4.9,4.0,0,not fire
10,August,2012,30,53,12,6.0,66.5,2.1,79.7,0.7,2.8,0.8,not fire
7,September,2012,27,72,18,0.7,75.7,6.8,45.1,2.9,7.3,16.7,fire
3,August,2012,39,55,15,1.4,83.1,11.9,32.2,2.2,14.7,19.5,not fire
8,June,2012,32,46,12,0.9,87.9,19.1,26.3,10.8,17.7,9.6,fire
24,August,2012,34,54,12,4.3,61.7,12.5,41.5,0.5,13.6,4.2,not fire
29,September,2012,28,68,13,1.4,71.4,17.5,117.8,2.4,17.5,10.7,not fire
28,July,2012,35,59,18,1.7,85.0,30.2,88.5,4.4,37.9,7.1,fire
21,September,2012,29,74,15,1.1,72.3,15.5,24.1,4.6,15.6,5.9,not fire
24,September,2012,31,85,15,3.3,66.5,1.9,21.4,1.7,3.0,0.5,fire
26,July,2012,35,87,16,1.9,67.1,13.0,79.7,0.8,16.7,15.3,not fire
4,September,2012,35,51,12,0.6,90.5,12.2,77.8,11.8,11.5,0.8,not fire
26,June,2012,35,38,16,0.6,93.8,34.9,145.7,12.4,43.3,14.8,fire
5,September,2012,33,32,9,3.8,82.9,2.9,28.3,2.9,3.7,13.7,fire
12,June,2012,27,85,17,3.7,53.1,6.9,90.1,0.8,9.1,0.8,fire
11,June,2012,33,47,15,1.0,77.9,5.2,107,7.1,8.3,2.7,fire
4,June,2012,30,65,12,1.8,74.7,1.4,41.3,2.1,1.8,18.4,fire
11,July,2012,35,57,11,1.8,87.3,15.3,15.2,5.8,16.0,9,fire
30,June,2012,32,61,12,0.7,83.3,33.8,141.1,4.6,41.0,5.3,not fire
28,September,2012,27,63,11,2.2,74.0,22.9,177.3,2.4,24.1,1.2,not fire
19,September,2012,31,77,16,0.7,83.3,17.3,79.9,5.6,21.3,13.5,fire
20,June,2012,33,55,17,0.9,80.3,16.0,59.2,5.1,21.6,15.7,fire
9,July,2012,36,45,16,1.9,84.6,16.6,34.5,3.1,20.1,0.9,not fire
8,June,2012,35,42,16,0.6,89.0,8.1,147.7,8.9,11.0,2.6,fire
21,June,2012,29,74,21,0.3,70.0,10.6,75.1,2.9,16.9,12.7,not fire
23,September,2012,33,69,14,0.4,88.7,12.8,9.7,5.4,13.4,10.5,fire
6,July,2012,39,40,15,0.1,94.7,35.7,90.4,10.6,44.7,5.6,fire
4,June,2012,27,60,14,3.2,61.3,2.0,52.4,2.5,1.9,0.3,fire
18,July,2012,32,81,19,1.5,71.7,3.8,24.3,1.6,5.5,6.1,not fire
7,August,2012,37,29,11,1.2,93.3,8.1,127,11.0,9.3,14.1,fire
24,August,2012,29,76,19,0.7,82.3,14.3,10,6.9,18.7,12.9,fire
17,August,2012,36,73,14,0.4,84.9,17.1,10.5,6.9,15.9,12.9,fire
16,July,2012,31,64,20,0.8,81.8,20.5,46.4,4.3,23.1,6.4,not fire
24,September,2012,25,76,16,1.0,65.7,5.1,25.2,0.7,5.7,6.1,fire
15,August,2012,31,70,12,2.8,72.8,4.3,15.9,1.7,4.5,21.6,fire
18,August,2012,35,45,13,2.1,84.8,27.3,7,10.0,26.0,17.2,not fire
26,August,2012,27,78,15,3.7,54.4,7.5,149.2,1.2,8.9,0.2,not fire
17,August,2012,32,80,12,1.2,75.3,23.5,16.3,3.7,23.2,0.1,not fire
17,June,2012,31,75,17,1.6,59.4,7.6,25.2,1.1,11.8,20.9,fire
3,July,2012,38,56,10,1.6,82.9,6.8,84.4,2.6,11.1,0.1,fire
30,July,2012,36,50,15,0.5,90.9,43.4,7.8,11.6,49.7,9.8,fire
21,July,2012,37,38,14,0.6,90.8,35.1,7,12.7,38.5,7.7,not fire
24,September,2012,26,55,19,3.3,67.1,1.9,28.9,1.1,3.7,0.6,fire
21,July,2012,42,33,16,0.2,95.2,36.1,166,13.9,40.4,12.2,not fire
23,September,2012,31,46,15,1.7,71.1,7.8,97.3,1.1,9.8,24.5,fire
27,June,2012,37,46,8,0.6,88.5,25.3,54.2,4.1,27.0,31.1,not fire
24,July,2012,30,62,14,2.8,74.8,15.2,161.5,2.8,16.4,15.3,not fire
16,July,2012,37,65,13,2.0,75.4,22.8,7.8,2.3,28.7,0.2,not fire
20,August,2012,35,53,16,0.5,89.2,10.5,8.2,6.4,10.2,13.2,fire
29,August,2012,32,54,14,0.4,92.9,40.5,40.4,10.6,46.1,12.7,fire
5,August,2012,29,63,13,1.3,84.1,3.1,110.9,2.2,4.4,12.9,fire
30,June,2012,35,57,14,0.1,92.9,31.6,19.8,10.6,37.8,15.4,fire
13,June,2012,38,74,15,0.7,93.2,27.6,79.9,9.7,29.3,7.7,fire
8,July,2012,30,81,18,1.7,49.0,5.9,40.4,0.2,6.9,0.8,fire
13,September,2012,31,46,12,0.4,90.6,7.3,17.6,9.2,8.4,1.7,fire
30,July,2012,37,71,13,1.1,82.0,39.4,41.3,7.1,44.6,6.8,fire
14,June,2012,29,63,12,1.7,80.2,20.1,80.3,2.4,23.4,8,fire
25,June,2012,36,41,12,1.1,90.1,50.4,27.7,6.1,57.8,14.8,fire
16,July,2012,32,65,20,2.4,81.0,11.4,7.7,5.0,11.5,0.2,not fire
15,June,2012,30,67,11,1.9,72.9,15.2,43.3,3.4,15.7,10.6,fire
26,June,2012,32,56,16,0.2,92.6,23.8,27.7,7.7,32.5,14.5,fire
11,July,2012,35,72,10,0.6,86.8,31.3,47,4.9,41.0,3.2,fire
23,July,2012,36,70,14,2.6,80.3,11.7,35.4,1.8,12.2,0.3,fire
30,June,2012,35,55,12,1.2,88.7,26.9,14.2,6.1,29.3,1,fire
23,September,2012,30,56,12,2.0,84.5,23.1,80.3,4.4,24.9,21.6,fire
7,September,2012,36,40,13,0.8,87.0,20.0,7.4,5.8,21.4,6.1,not fire
17,August,2012,29,76,15,4.3,60.8,0.9,8.3,0.7,1.4,0.9,not fire
24,July,2012,39,54,16,0.0,95.9,65.5,7.1,18.0,67.8,8.3,fire
3,July,2012,34,58,17,1.2,83.9,17.9,92.8,4.5,23.3,6.3,fire
20,August,2012,34,71,16,1.8,71.9,18.3,57,3.6,19.9,0.5,fire
23,July,2012,35,62,17,1.0,87.6,25.7,27.1,6.8,29.4,4.2,not fire
5,July,2012,31,83,16,2.8,50.4,13.0,9.1,1.0,14.5,0.8,not fire
27,July,2012,29,87,15,1.7,58.8,7.1,7.5,0.4,10.5,0.7,not fire
31,August,2012,32,62,18,0.4,92.0,44.4,57.9,9.4,50.5,22.3,fire
4,July,2012,37,51,17,0.8,86.0,21.8,44.5,5.3,22.2,16.1,not fire
24,June,2012,29,88,16,0.4,64.1,15.2,90.4,1.0,20.9,0.6,not fire
11,July,2012,29,65,15,5.3,47.9,2.5,8,0.4,2.4,0.4,not fire
17,August,2012,31,86,19,1.7,67.6,6.4,7.3,0.4,9.2,0.7,not fire
24,September,2012,33,67,15,0.4,85.1,18.0,25.5,7.3,22.2,7.1,fire
15,July,2012,29,88,18,3.0,51.0,9.2,7.3,0.3,8.3,6.8,fire
3,June,2012,26,88,16,0.7,56.9,1.2,46.3,0.6,1.9,0.4,fire
17,June,2012,33,38,14,1.1,93.6,22.3,57,8.5,26.2,0.9,not fire
28,September,2012,30,54,16,1.4,85.7,19.4,19.7,7.2,25.4,3.4,fire
27,July,2012,31,53,19,2.7,79.2,15.9,117.1,6.7,16.8,3.1,not fire
8,July,2012,37,48,16,0.1,92.3,40.5,24,10.5,45.5,15.2,fire
12,August,2012,35,64,16,0.3,83.0,33.6,7.4,7.4,40.3,6.1,fire
15,September,2012,23,68,18,3.5,62.4,4.2,7.7,1.5,3.6,0.4,not fire
24,June,2012,30,85,19,7.5,40.6,2.5,7.6,0.2,2.7,0.4,not fire
13,June,2012,29,67,17,1.1,86.8,6.5,8.5,4.8,8.0,6,not fire
6,July,2012,33,72,16,0.1,86.1,11.1,168.2,4.9,13.2,14.1,not fire
11,September,2012,31,69,16,1.0,71.3,3.7,46.3,3.5,4.3,2.8,not fire
29,August,2012,26,88,17,1.5,55.4,3.2,8.2,0.3,5.0,0.8,not fire
16,July,2012,34,43,18,2.6,86.8,12.6,96.8,9.6,15.1,0.3,not fire
14,August,2012,32,54,15,3.4,71.5,8.9,127.5,2.1,10.5,0.6,fire
21,June,2012,35,51,12,2.5,75.8,7.2,8.4,3.2,6.9,3,not fire
16,June,2012,28,84,16,0.8,63.8,2.6,16.6,2.6,3.5,0.8,fire
3,August,2012,30,74,15,1.8,53.4,2.4,8.8,0.4,2.8,0.5,not fire
13,August,2012,34,67,20,0.8,87.4,25.7,20.2,9.4,30.0,9,fire
20,June,2012,32,67,15,1.1,82.8,17.9,8.8,4.6,19.9,1.3,not fire
21,June,2012,36,62,16,1.1,89.9,8.8,88.7,5.6,9.7,0.6,not fire
26,June,2012,33,81,17,3.0,54.4,2.6,7.5,1.9,3.2,0.3,fire
16,June,2012,28,67,18,0.7,72.8,14.3,57.1,2.6,18.2,1.7,not fire
12,June,2012,28,65,16,1.0,76.6,13.9,168.2,3.7,19.4,3.2,not fire
13,June,2012,32,58,14,0.9,76.4,8.5,149.2,3.3,9.0,18.8,fire
27,August,2012,29,74,18,0.9,76.5,8.5,55.8,4.5,13.6,3.7,fire
7,September,2012,35,45,11,2.3,91.5,7.1,80.6,7.5,7.0,2.5,fire
10,June,2012,28,78,15,2.0,75.0,6.3,8.3,2.5,5.9,0.9,not fire
3,August,2012,35,45,13,1.7,79.3,8.2,41.5,3.3,8.4,9.9,fire
21,August,2012,31,64,18,2.9,82.3,23.6,86,7.7,27.8,16,fire
11,September,2012,29,66,15,2.1,65.0,13.7,41.5,3.1,17.5,13.2,not fire
2,July,2012,35,43,20,1.3,85.0,9.9,8.6,7.9,11.3,0.1,not fire
4,September,2012,29,60,18,3.2,56.5,2.7,9.2,0.3,3.3,0.1,not fire
15,September,2012,34,49,17,0.9,94.1,24.8,20.2,10.3,29.0,15.2,fire
16,June,2012,28,64,23,0.2,87.5,14.6,55.8,11.4,16.3,6.8,fire
3,August,2012,31,36,20,0.2,91.8,24.1,19.8,11.3,28.9,15.4,fire
20,August,2012,29,55,15,1.4,80.2,5.9,38.3,4.0,8.4,0.3,fire
26,August,2012,32,68,19,1.1,85.1,13.6,37.8,4.1,13.4,0.1,fire
1,September,2012,31,58,16,2.6,79.4,3.2,28.1,6.1,3.1,4.2,not fire
11,September,2012,30,67,12,2.8,76.2,6.6,7.3,3.1,7.1,1.3,not fire
7,June,2012,35,21,15,4.0,94.8,20.1,27.3,16.2,18.2,6.3,fire
8,September,2012,29,63,16,0.6,79.4,15.1,14.6 9,6.3,15.9,3,fire
4,June,2012,41,34,11,1.8,95.5,25.2,42.7,11.6,26.6,21.6,not fire
27,June,2012,31,67,14,3.0,62.9,11.0,120.9,1.2,18.9,10.3,not fire
19,August,2012,32,56,19,1.9,80.1,14.5,35.4,5.7,16.7,17.3,fire
23,July,2012,32,35,20,0.3,94.3,34.7,94.7,14.2,39.7,2.6,fire
6,August,2012,33,71,14,0.9,77.8,7.4,36.7,3.2,8.9,2.2,fire
16,August,2012,27,65,16,1.2,87.4,17.1,10,6.0,18.7,7.1,fire
25,June,2012,34,79,15,1.0,83.8,9.4,8.2,2.4,10.3,25.4,fire
28,September,2012,30,70,15,0.1,91.6,18.3,117.8,6.3,23.6,22.3,fire
23,July,2012,40,47,14,0.5,95.0,39.1,32.2,11.4,44.1,6.8,fire
5,September,2012,34,75,11,0.4,78.6,15.8,7.7,4.3,19.5,2.5,not fire
24,August,2012,32,60,16,0.0,94.2,24.8,18.7,11.8,30.9,16.7,fire
23,September,2012,32,47,13,2.0,84.7,16.0,9.5,7.9,15.1,2.5,fire
8,June,2012,30,80,16,4.1,48.6,1.2,7.8,0.5,1.7,0.4,fire
15,August,2012,35,50,13,0.2,94.7,33.8,88.5,14.2,36.9,5.6,fire
10,September,2012,28,84,19,0.6,71.7,10.1,147.7,2.2,15.8,5.6,fire
2,July,2012,37,32,16,0.1,94.3,33.3,52.5,14.1,36.5,20.3,fire
8,June,2012,25,77,12,1.2,66.4,8.2,52.5,2.8,11.3,3.1,not fire
14,June,2012,27,74,19,1.7,68.2,16.2,27.1,2.0,21.9,0.5,fire
4,September,2012,26,76,17,1.3,61.6,3.7,8.2,2.0,4.2,2.2,not fire
24,July,2012,33,64,16,0.6,86.4,21.8,127,6.2,27.9,26.1,fire
14,August,2012,23,90,23,4.3,30.6,0.7,8.3,0.1,1.1,0.5,not fire
30,August,2012,35,57,16,0.3,89.5,16.9,18.5,10.2,20.1,22.3,fire
6,August,2012,33,52,13,1.7,69.8,10.2,35.4,4.0,11.6,15,not fire
8,July,2012,34,83,13,0.5,85.9,15.6,49.8,4.1,19.3,17.2,fire
13,August,2012,38,64,10,0.5,88.2,9.7,86,3.0,10.9,15.7,fire
4,June,2012,30,75,20,2.7,52.3,3.5,16.6,1.4,3.1,0.3,not fire
14,June,2012,36,50,12,0.3,86.5,5.7,77,6.2,6.5,10.7,not fire
27,July,2012,31,89,21,2.7,58.5,10.1,136,0.3,13.0,0.3,not fire
6,September,2012,32,33,13,1.4,81.6,12.4,159.1,5.9,15.4,13,fire
5,June,2012,28,70,20,1.6,61.4,4.0,8.4,1.5,5.5,0.1,not fire
6,July,2012,35,69,20,0.3,90.0,32.9,61.1,9.8,38.9,3.7,not fire
20,August,2012,34,60,18,0.1,94.2,25.3,42.7,8.0,26.3,11.3,fire
26,June,2012,32,78,17,1.5,81.9,18.4,26.6,4.5,19.6,3.2,not fire
14,August,2012,33,51,17,1.8,87.6,17.7,7.3,7.4,17.8,3.1,fire
29,June,2012,36,76,15,1.2,87.1,16.9,14.7,5.6,17.6,3.2,not fire
5,June,2012,32,61,16,1.2,76.8,10.6,10,4.0,11.2,0.4,not fire
12,July,2012,36,51,13,1.2,85.0,18.1,127.5,3.5,18.3,14.1,fire
19,August,2012,31,63,16,0.8,85.3,21.3,117.8,6.6,20.7,6.8,not fire
13,July,2012,29,87,17,1.3,76.7,1.5,7.6,3.3,2.3,10.7,not fire
11,September,2012,26,82,14,4.5,51.6,1.0,8.4,0.1,1.3,0,not fire
31,June,2012,38,50,13,0.4,94.3,50.3,127,9.1,61.1,30.2,fire
15,July,2012,38,50,12,2.4,83.0,12.9,190.6,6.0,13.4,7.3,not fire
12,August,2012,26,83,23,2.0,58.8,5.5,16,1.4,9.8,17.3,not fire
3,July,2012,32,53,18,2.8,80.0,15.7,28.1,3.5,19.8,0.8,not fire
16,July,2012,36,65,16,0.1,93.2,42.9,57.1,9.8,46.0,8.3,fire
18,June,2012,28,66,16,1.1,86.3,17.1,48.6,6.7,23.4,13.9,fire
2,August,2012,29,79,15,2.1,71.1,1.9,7.8,1.6,2.4,0.1,not fire
31,August,2012,33,41,13,0.7,95.7,49.2,10.2,11.3,53.9,8.4,fire
29,September,2012,39,45,14,1.5,91.5,17.7,51.6,8.3,19.0,4.7,not fire
19,June,2012,31,63,17,1.0,90.4,20.4,16.5,6.8,27.1,2.2,fire
29,June,2012,32,64,18,0.8,92.0,18.5,41.4,10.9,22.2,15,fire
4,July,2012,32,88,16,0.2,76.3,6.1,18.7,6.4,8.6,3,fire
2,August,2012,25,77,18,0.8,59.2,1.1,55.5,1.2,2.1,7.7,not fire
23,June,2012,28,73,16,1.8,75.3,7.5,38.8,3.0,10.7,1.4,fire
19,June,2012,34,26,14,2.9,80.2,20.7,52.5,8.7,23.5,0.1,not fire
21,July,2012,35,56,15,3.0,82.4,11.8,79.7,4.8,10.8,19.4,not fire
7,July,2012,40,24,19,0.3,95.3,22.9,65.1,12.7,24.6,24,fire
20,September,2012,24,84,16,4.9,41.5,4.4,7.7,0.6,5.4,0.1,not fire
3,September,2012,24,76,17,2.8,42.1,0.8,37.6,0.4,1.2,0.8,not fire
26,July,2012,41,23,10,0.2,95.5,31.8,62.1,18.0,33.5,2.3,fire
26,August,2012,33,79,14,3.9,68.9,12.4,27.7,0.4,15.9,0.1,not fire
25,September,2012,26,62,13,0.6,76.0,8.5,96.8,4.8,12.3,2.3,fire
9,June,2012,40,52,10,0.9,81.6,18.0,24.3,5.7,19.7,1.3,fire
2,September,2012,28,85,16,4.5,46.5,0.9,33.1,0.2,1.3,0.6,not fire
15,July,2012,33,73,14,1.4,87.1,19.2,19.4,5.3,24.4,9.1,fire
15,September,2012,30,85,15,0.1,80.7,18.1,71.3,4.1,23.2,6.8,not fire
8,August,2012,30,74,20,2.3,65.9,7.5,38.8,1.1,9.1,1.7,not fire
30,July,2012,32,54,16,1.3,75.4,34.1,36.7,5.3,35.3,13.2,not fire
23,June,2012,34,56,13,0.3,92.1,21.5,34.5,8.9,25.6,0,fire
16,September,2012,33,75,19,1.8,70.5,12.6,37.6,3.2,20.4,1.2,not fire
9,September,2012,29,80,15,0.1,78.2,24.2,19.8,5.6,29.7,2.8,not fire
30,July,2012,30,69,20,1.0,83.2,18.0,80.3,8.0,22.5,5.2,fire
12,June,2012,35,34,15,2.3,90.4,11.0,17.7,4.9,10.4,9,not fire
23,August,2012,35,44,17,0.6,94.1,24.3,24.3,9.5,24.7,4.1,fire
14,June,2012,34,62,17,1.6,78.7,9.2,37.8,2.3,11.5,2.8,not fire
12,July,2012,26,89,21,1.2,63.3,1.4,10.4,1.8,2.1,19.5,not fire
23,September,2012,28,77,13,0.8,78.8,17.7,65.1,2.4,23.6,2.5,fire
27,August,2012,32,54,15,1.7,77.1,15.7,22.9,5.3,17.5,9.9,fire
12,September,2012,33,72,15,1.2,74.9,11.1,15.2,2.1,13.5,0.9,not fire
14,June,2012,34,47,10,2.6,84.8,7.6,190.6,2.7,9.2,5.9,fire
30,August,2012,31,78,14,1.5,70.5,23.6,8.7,1.0,29.3,2.1,fire
2,June,2012,33,62,16,1.4,79.1,18.5,63.3,4.7,26.8,0.1,fire
1,July,2012,41,27,9,1.6,93.7,13.8,46.3,6.5,13.4,3.8,fire
28,July,2012,38,34,16,1.3,93.1,45.4,120.9,7.8,51.4,8.3,fire
22,September,2012,32,49,18,0.7,91.9,19.3,220.4,11.1,23.5,7.1,not fire
24,September,2012,30,68,16,1.6,61.3,2.4,17.6,1.4,3.1,17.5,not fire
16,July,2012,35,52,18,1.3,93.4,26.4,86.8,10.6,29.0,1,not fire
14,June,2012,31,67,18,3.7,76.9,7.7,8,2.1,8.2,7.7,not fire
16,June,2012,31,56,13,2.1,74.2,5.0,10.4,3.2,4.4,0.6,not fire
27,August,2012,33,64,17,0.2,94.7,37.7,151.3,13.1,44.2,16.8,fire
7,June,2012,40,52,11,0.1,95.2,24.1,7,8.1,25.9,6.8,fire
8,July,2012,30,61,17,0.7,70.9,8.1,15.7,2.2,9.3,5.9,not fire
26,June,2012,28,76,17,1.8,60.5,24.5,52.4,1.9,25.7,0.3,not fire
14,June,2012,36,58,13,0.4,88.5,10.7,177.3,6.8,11.4,2.6,fire
16,August,2012,29,66,16,1.2,77.2,37.1,25.5,8.8,46.2,12.9,fire
24,July,2012,37,36,16,0.2,95.1,50.4,63.8,13.4,55.6,6.5,not fire
7,September,2012,26,72,16,2.3,62.2,5.2,42.3,3.9,6.2,8.4,fire
15,September,2012,34,78,10,0.4,86.1,9.1,54.3,1.6,9.9,2.8,not fire
13,July,2012,36,62,15,2.1,82.0,26.8,8,4.1,27.2,6.3,not fire
28,June,2012,31,78,19,3.2,72.1,16.5,63.3,4.7,18.1,0.1,not fire
12,July,2012,38,35,15,1.0,90.7,31.2,120.9,8.2,36.2,16.8,not fire
16,September,2012,29,88,16,0.2,65.7,3.9,137.7,1.2,7.4,6.1,fire
26,July,2012,33,34,16,0.5,91.3,38.3,151.3,7.1,44.5,7.3,fire
5,September,2012,31,58,14,2.4,71.1,5.5,65.1,3.4,5.7,6.3,not fire
27,August,2012,35,64,13,0.3,93.6,17.8,39.5,6.7,22.8,7.2,fire
16,August,2012,33,63,16,0.9,84.6,12.7,9.1,5.4,12.6,10.5,fire
5,August,2012,38,64,15,0.6,84.8,12.4,16.6,5.1,14.5,12.9,fire
13,June,2012,40,50,15,1.0,83.8,16.2,161.5,5.9,24.5,24.5,fire
5,July,2012,31,75,17,1.7,68.2,3.9,80.6,1.4,4.7,0,not fire
26,July,2012,34,62,17,3.2,80.9,12.5,10,4.7,12.1,0.5,not fire
17,July,2012,29,75,17,1.4,62.5,14.7,16.5,1.0,22.3,13.7,fire
14,July,2012,37,54,15,2.0,88.6,28.7,7.8,8.8,32.9,0.2,fire
25,September,2012,22,79,18,2.0,62.2,6.6,15.7,2.5,9.6,9.9,not fire
23,July,2012,35,52,18,0.8,88.3,24.5,151.3,4.8,23.4,3.6,fire
27,June,2012,38,48,14,0.4,95.0,42.4,22.9,15.8,49.3,16.7,fire
22,August,2012,30,73,10,2.9,64.5,11.4,7.5,1.1,12.3,0.5,not fire
2,September,2012,27,69,13,3.5,56.0,1.4,9.2,0.7,2.1,0.8,fire
5,August,2012,32,74,13,2.9,74.9,5.3,8.4,2.1,4.9,1.2,fire
26,September,2012,28,81,15,0.5,77.9,22.3,22.5,5.8,26.8,16.1,fire
31,July,2012,34,48,21,1.9,82.8,39.4,151.3,8.8,47.3,5.7,fire
12,July,2012,30,61,13,1.5,78.2,12.4,45.1,7.1,12.7,6.8,fire
28,September,2012,30,65,16,2.5,83.2,9.7,7.6,3.8,12.2,0.2,not fire
5,September,2012,28,68,14,5.0,44.8,1.2,7.6,0.2,1.5,0.5,not fire
12,June,2012,30,72,19,1.2,70.4,12.7,41.5,2.8,13.7,3.2,not fire
4,July,2012,27,82,21,4.6,32.9,3.3,8.3,0.1,4.0,0.4,not fire
5,September,2012,39,53,15,0.8,93.8,11.6,9.8,9.9,10.4,18.4,fire
11,August,2012,32,81,13,3.9,62.8,3.6,44.5,1.0,4.4,0.3,fire
