Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
25,76,16,1,65.7,5.1,25.2,0.7,5.7,6.1,fire
31,70,12,2.8,72.8,4.3,15.9,1.7,4.5,21.6,fire
35,45,13,2.1,84.8,27.3,7,10,26,17.2,not fire
27,78,15,3.7,54.4,7.5,149.2,1.2,8.9,0.2,not fire
32,80,12,1.2,75.3,23.5,16.3,3.7,23.2,0.1,not fire
31,75,17,1.6,59.4,7.6,25.2,1.1,11.8,20.9,fire
38,56,10,1.6,82.9,6.8,84.4,2.6,11.1,0.1,fire
36,50,15,0.5,90.9,43.4,7.8,11.6,49.7,9.8,fire
37,38,14,0.6,90.8,35.1,7,12.7,38.5,7.7,not fire
26,55,19,3.3,67.1,1.9,28.9,1.1,3.7,0.6,fire
42,33,16,0.2,95.2,36.1,166,13.9,40.4,12.2,not fire
31,46,15,1.7,71.1,7.8,97.3,1.1,9.8,24.5,fire
37,46,8,0.6,88.5,25.3,54.2,4.1,27,31.1,not fire
30,62,14,2.8,74.8,15.2,161.5,2.8,16.4,15.3,not fire
37,65,13,2,75.4,22.8,7.8,2.3,28.7,0.2,not fire
35,53,16,0.5,89.2,10.5,8.2,6.4,10.2,13.2,fire
32,54,14,0.4,92.9,40.5,40.4,10.6,46.1,12.7,fire
29,63,13,1.3,84.1,3.1,110.9,2.2,4.4,12.9,fire
35,57,14,0.1,92.9,31.6,19.8,10.6,37.8,15.4,fire
38,74,15,0.7,93.2,27.6,79.9,9.7,29.3,7.7,fire
30,81,18,1.7,49,5.9,40.4,0.2,6.9,0.8,fire
31,46,12,0.4,90.6,7.3,17.6,9.2,8.4,1.7,fire
37,71,13,1.1,82,39.4,41.3,7.1,44.6,6.8,fire
29,63,12,1.7,80.2,20.1,80.3,2.4,23.4,8,fire
36,41,12,1.1,90.1,50.4,27.7,6.1,57.8,14.8,fire
32,65,20,2.4,81,11.4,7.7,5,11.5,0.2,not fire
30,67,11,1.9,72.9,15.2,43.3,3.4,15.7,10.6,fire
32,56,16,0.2,92.6,23.8,27.7,7.7,32.5,14.5,fire
35,72,10,0.6,86.8,31.3,47,4.9,41,3.2,fire
36,70,14,2.6,80.3,11.7,35.4,1.8,12.2,0.3,fire
35,55,12,1.2,88.7,26.9,14.2,6.1,29.3,1,fire
30,56,12,2,84.5,23.1,80.3,4.4,24.9,21.6,fire
36,40,13,0.8,87,20,7.4,5.8,21.4,6.1,not fire
29,76,15,4.3,60.8,0.9,8.3,0.7,1.4,0.9,not fire
39,54,16,0,95.9,65.5,7.1,18,67.8,8.3,fire
34,58,17,1.2,83.9,17.9,92.8,4.5,23.3,6.3,fire
34,71,16,1.8,71.9,18.3,57,3.6,19.9,0.5,fire
35,62,17,1,87.6,25.7,27.1,6.8,29.4,4.2,not fire
31,83,16,2.8,50.4,13,9.1,1,14.5,0.8,not fire
29,87,15,1.7,58.8,7.1,7.5,0.4,10.5,0.7,not fire
32,62,18,0.4,92,44.4,57.9,9.4,50.5,22.3,fire
37,51,17,0.8,86,21.8,44.5,5.3,22.2,16.1,not fire
29,88,16,0.4,64.1,15.2,90.4,1,20.9,0.6,not fire
29,65,15,5.3,47.9,2.5,8,0.4,2.4,0.4,not fire
31,86,19,1.7,67.6,6.4,7.3,0.4,9.2,0.7,not fire
33,67,15,0.4,85.1,18,25.5,7.3,22.2,7.1,fire
29,88,18,3,51,9.2,7.3,0.3,8.3,6.8,fire
26,88,16,0.7,56.9,1.2,46.3,0.6,1.9,0.4,fire
33,38,14,1.1,93.6,22.3,57,8.5,26.2,0.9,not fire
30,54,16,1.4,85.7,19.4,19.7,7.2,25.4,3.4,fire
31,53,19,2.7,79.2,15.9,117.1,6.7,16.8,3.1,not fire
37,48,16,0.1,92.3,40.5,24,10.5,45.5,15.2,fire
35,64,16,0.3,83,33.6,7.4,7.4,40.3,6.1,fire
23,68,18,3.5,62.4,4.2,7.7,1.5,3.6,0.4,not fire
30,85,19,7.5,40.6,2.5,7.6,0.2,2.7,0.4,not fire
29,67,17,1.1,86.8,6.5,8.5,4.8,8,6,not fire
33,72,16,0.1,86.1,11.1,168.2,4.9,13.2,14.1,not fire
31,69,16,1,71.3,3.7,46.3,3.5,4.3,2.8,not fire
26,88,17,1.5,55.4,3.2,8.2,0.3,5,0.8,not fire
34,43,18,2.6,86.8,12.6,96.8,9.6,15.1,0.3,not fire
32,54,15,3.4,71.5,8.9,127.5,2.1,10.5,0.6,fire
35,51,12,2.5,75.8,7.2,8.4,3.2,6.9,3,not fire
28,84,16,0.8,63.8,2.6,16.6,2.6,3.5,0.8,fire
30,74,15,1.8,53.4,2.4,8.8,0.4,2.8,0.5,not fire
34,67,20,0.8,87.4,25.7,20.2,9.4,30,9,fire
32,67,15,1.1,82.8,17.9,8.8,4.6,19.9,1.3,not fire
36,62,16,1.1,89.9,8.8,88.7,5.6,9.7,0.6,not fire
33,81,17,3,54.4,2.6,7.5,1.9,3.2,0.3,fire
28,67,18,0.7,72.8,14.3,57.1,2.6,18.2,1.7,not fire
28,65,16,1,76.6,13.9,168.2,3.7,19.4,3.2,not fire
32,58,14,0.9,76.4,8.5,149.2,3.3,9,18.8,fire
29,74,18,0.9,76.5,8.5,55.8,4.5,13.6,3.7,fire
35,45,11,2.3,91.5,7.1,80.6,7.5,7,2.5,fire
28,78,15,2,75,6.3,8.3,2.5,5.9,0.9,not fire
35,45,13,1.7,79.3,8.2,41.5,3.3,8.4,9.9,fire
31,64,18,2.9,82.3,23.6,86,7.7,27.8,16,fire
29,66,15,2.1,65,13.7,41.5,3.1,17.5,13.2,not fire
35,43,20,1.3,85,9.9,8.6,7.9,11.3,0.1,not fire
29,60,18,3.2,56.5,2.7,9.2,0.3,3.3,0.1,not fire
34,49,17,0.9,94.1,24.8,20.2,10.3,29,15.2,fire
28,64,23,0.2,87.5,14.6,55.8,11.4,16.3,6.8,fire
31,36,20,0.2,91.8,24.1,19.8,11.3,28.9,15.4,fire
29,55,15,1.4,80.2,5.9,38.3,4,8.4,0.3,fire
32,68,19,1.1,85.1,13.6,37.8,4.1,13.4,0.1,fire
31,58,16,2.6,79.4,3.2,28.1,6.1,3.1,4.2,not fire
30,67,12,2.8,76.2,6.6,7.3,3.1,7.1,1.3,not fire
35,21,15,4,94.8,20.1,27.3,16.2,18.2,6.3,fire
29,63,16,0.6,79.4,15.1,14.6 9,6.3,15.9,3,fire
41,34,11,1.8,95.5,25.2,42.7,11.6,26.6,21.6,not fire
31,67,14,3,62.9,11,120.9,1.2,18.9,10.3,not fire
32,56,19,1.9,80.1,14.5,35.4,5.7,16.7,17.3,fire
32,35,20,0.3,94.3,34.7,94.7,14.2,39.7,2.6,fire
33,71,14,0.9,77.8,7.4,36.7,3.2,8.9,2.2,fire
27,65,16,1.2,87.4,17.1,10,6,18.7,7.1,fire
34,79,15,1,83.8,9.4,8.2,2.4,10.3,25.4,fire
30,70,15,0.1,91.6,18.3,117.8,6.3,23.6,22.3,fire
40,47,14,0.5,95,39.1,32.2,11.4,44.1,6.8,fire
34,75,11,0.4,78.6,15.8,7.7,4.3,19.5,2.5,not fire
32,60,16,0,94.2,24.8,18.7,11.8,30.9,16.7,fire
32,47,13,2,84.7,16,9.5,7.9,15.1,2.5,fire
30,80,16,4.1,48.6,1.2,7.8,0.5,1.7,0.4,fire
35,50,13,0.2,94.7,33.8,88.5,14.2,36.9,5.6,fire
28,84,19,0.6,71.7,10.1,147.7,2.2,15.8,5.6,fire
37,32,16,0.1,94.3,33.3,52.5,14.1,36.5,20.3,fire
25,77,12,1.2,66.4,8.2,52.5,2.8,11.3,3.1,not fire
27,74,19,1.7,68.2,16.2,27.1,2,21.9,0.5,fire
26,76,17,1.3,61.6,3.7,8.2,2,4.2,2.2,not fire
33,64,16,0.6,86.4,21.8,127,6.2,27.9,26.1,fire
23,90,23,4.3,30.6,0.7,8.3,0.1,1.1,0.5,not fire
35,57,16,0.3,89.5,16.9,18.5,10.2,20.1,22.3,fire
33,52,13,1.7,69.8,10.2,35.4,4,11.6,15,not fire
34,83,13,0.5,85.9,15.6,49.8,4.1,19.3,17.2,fire
38,64,10,0.5,88.2,9.7,86,3,10.9,15.7,fire
30,75,20,2.7,52.3,3.5,16.6,1.4,3.1,0.3,not fire
36,50,12,0.3,86.5,5.7,77,6.2,6.5,10.7,not fire
31,89,21,2.7,58.5,10.1,136,0.3,13,0.3,not fire
32,33,13,1.4,81.6,12.4,159.1,5.9,15.4,13,fire
28,70,20,1.6,61.4,4,8.4,1.5,5.5,0.1,not fire
35,69,20,0.3,90,32.9,61.1,9.8,38.9,3.7,not fire
34,60,18,0.1,94.2,25.3,42.7,8,26.3,11.3,fire
32,78,17,1.5,81.9,18.4,26.6,4.5,19.6,3.2,not fire
33,51,17,1.8,87.6,17.7,7.3,7.4,17.8,3.1,fire
36,76,15,1.2,87.1,16.9,14.7,5.6,17.6,3.2,not fire
32,61,16,1.2,76.8,10.6,10,4,11.2,0.4,not fire
36,51,13,1.2,85,18.1,127.5,3.5,18.3,14.1,fire
31,63,16,0.8,85.3,21.3,117.8,6.6,20.7,6.8,not fire
29,87,17,1.3,76.7,1.5,7.6,3.3,2.3,10.7,not fire
26,82,14,4.5,51.6,1,8.4,0.1,1.3,0,not fire
38,50,13,0.4,94.3,50.3,127,9.1,61.1,30.2,fire
38,50,12,2.4,83,12.9,190.6,6,13.4,7.3,not fire
26,83,23,2,58.8,5.5,16,1.4,9.8,17.3,not fire
32,53,18,2.8,80,15.7,28.1,3.5,19.8,0.8,not fire
36,65,16,0.1,93.2,42.9,57.1,9.8,46,8.3,fire
28,66,16,1.1,86.3,17.1,48.6,6.7,23.4,13.9,fire
29,79,15,2.1,71.1,1.9,7.8,1.6,2.4,0.1,not fire
33,41,13,0.7,95.7,49.2,10.2,11.3,53.9,8.4,fire
39,45,14,1.5,91.5,17.7,51.6,8.3,19,4.7,not fire
31,63,17,1,90.4,20.4,16.5,6.8,27.1,2.2,fire
32,64,18,0.8,92,18.5,41.4,10.9,22.2,15,fire
32,88,16,0.2,76.3,6.1,18.7,6.4,8.6,3,fire
25,77,18,0.8,59.2,1.1,55.5,1.2,2.1,7.7,not fire
28,73,16,1.8,75.3,7.5,38.8,3,10.7,1.4,fire
34,26,14,2.9,80.2,20.7,52.5,8.7,23.5,0.1,not fire
35,56,15,3,82.4,11.8,79.7,4.8,10.8,19.4,not fire
40,24,19,0.3,95.3,22.9,65.1,12.7,24.6,24,fire
24,84,16,4.9,41.5,4.4,7.7,0.6,5.4,0.1,not fire
24,76,17,2.8,42.1,0.8,37.6,0.4,1.2,0.8,not fire
41,23,10,0.2,95.5,31.8,62.1,18,33.5,2.3,fire
33,79,14,3.9,68.9,12.4,27.7,0.4,15.9,0.1,not fire
26,62,13,0.6,76,8.5,96.8,4.8,12.3,2.3,fire
40,52,10,0.9,81.6,18,24.3,5.7,19.7,1.3,fire
28,85,16,4.5,46.5,0.9,33.1,0.2,1.3,0.6,not fire
33,73,14,1.4,87.1,19.2,19.4,5.3,24.4,9.1,fire
30,85,15,0.1,80.7,18.1,71.3,4.1,23.2,6.8,not fire
30,74,20,2.3,65.9,7.5,38.8,1.1,9.1,1.7,not fire
32,54,16,1.3,75.4,34.1,36.7,5.3,35.3,13.2,not fire
34,56,13,0.3,92.1,21.5,34.5,8.9,25.6,0,fire
33,75,19,1.8,70.5,12.6,37.6,3.2,20.4,1.2,not fire
29,80,15,0.1,78.2,24.2,19.8,5.6,29.7,2.8,not fire
30,69,20,1,83.2,18,80.3,8,22.5,5.2,fire
35,34,15,2.3,90.4,11,17.7,4.9,10.4,9,not fire
35,44,17,0.6,94.1,24.3,24.3,9.5,24.7,4.1,fire
34,62,17,1.6,78.7,9.2,37.8,2.3,11.5,2.8,not fire
26,89,21,1.2,63.3,1.4,10.4,1.8,2.1,19.5,not fire
28,77,13,0.8,78.8,17.7,65.1,2.4,23.6,2.5,fire
32,54,15,1.7,77.1,15.7,22.9,5.3,17.5,9.9,fire
33,72,15,1.2,74.9,11.1,15.2,2.1,13.5,0.9,not fire
34,47,10,2.6,84.8,7.6,190.6,2.7,9.2,5.9,fire
31,78,14,1.5,70.5,23.6,8.7,1,29.3,2.1,fire
33,62,16,1.4,79.1,18.5,63.3,4.7,26.8,0.1,fire
41,27,9,1.6,93.7,13.8,46.3,6.5,13.4,3.8,fire
38,34,16,1.3,93.1,45.4,120.9,7.8,51.4,8.3,fire
32,49,18,0.7,91.9,19.3,220.4,11.1,23.5,7.1,not fire
30,68,16,1.6,61.3,2.4,17.6,1.4,3.1,17.5,not fire
35,52,18,1.3,93.4,26.4,86.8,10.6,29,1,not fire
31,67,18,3.7,76.9,7.7,8,2.1,8.2,7.7,not fire
31,56,13,2.1,74.2,5,10.4,3.2,4.4,0.6,not fire
33,64,17,0.2,94.7,37.7,151.3,13.1,44.2,16.8,fire
40,52,11,0.1,95.2,24.1,7,8.1,25.9,6.8,fire
30,61,17,0.7,70.9,8.1,15.7,2.2,9.3,5.9,not fire
28,76,17,1.8,60.5,24.5,52.4,1.9,25.7,0.3,not fire
36,58,13,0.4,88.5,10.7,177.3,6.8,11.4,2.6,fire
29,66,16,1.2,77.2,37.1,25.5,8.8,46.2,12.9,fire
37,36,16,0.2,95.1,50.4,63.8,13.4,55.6,6.5,not fire
26,72,16,2.3,62.2,5.2,42.3,3.9,6.2,8.4,fire
34,78,10,0.4,86.1,9.1,54.3,1.6,9.9,2.8,not fire
36,62,15,2.1,82,26.8,8,4.1,27.2,6.3,not fire
31,78,19,3.2,72.1,16.5,63.3,4.7,18.1,0.1,not fire
38,35,15,1,90.7,31.2,120.9,8.2,36.2,16.8,not fire
29,88,16,0.2,65.7,3.9,137.7,1.2,7.4,6.1,fire
33,34,16,0.5,91.3,38.3,151.3,7.1,44.5,7.3,fire
31,58,14,2.4,71.1,5.5,65.1,3.4,5.7,6.3,not fire
35,64,13,0.3,93.6,17.8,39.5,6.7,22.8,7.2,fire
33,63,16,0.9,84.6,12.7,9.1,5.4,12.6,10.5,fire
38,64,15,0.6,84.8,12.4,16.6,5.1,14.5,12.9,fire
40,50,15,1,83.8,16.2,161.5,5.9,24.5,24.5,fire
31,75,17,1.7,68.2,3.9,80.6,1.4,4.7,0,not fire
34,62,17,3.2,80.9,12.5,10,4.7,12.1,0.5,not fire
29,75,17,1.4,62.5,14.7,16.5,1,22.3,13.7,fire
37,54,15,2,88.6,28.7,7.8,8.8,32.9,0.2,fire
22,79,18,2,62.2,6.6,15.7,2.5,9.6,9.9,not fire
35,52,18,0.8,88.3,24.5,151.3,4.8,23.4,3.6,fire
38,48,14,0.4,95,42.4,22.9,15.8,49.3,16.7,fire
30,73,10,2.9,64.5,11.4,7.5,1.1,12.3,0.5,not fire
27,69,13,3.5,56,1.4,9.2,0.7,2.1,0.8,fire
32,74,13,2.9,74.9,5.3,8.4,2.1,4.9,1.2,fire
28,81,15,0.5,77.9,22.3,22.5,5.8,26.8,16.1,fire
34,48,21,1.9,82.8,39.4,151.3,8.8,47.3,5.7,fire
30,61,13,1.5,78.2,12.4,45.1,7.1,12.7,6.8,fire
30,65,16,2.5,83.2,9.7,7.6,3.8,12.2,0.2,not fire
28,68,14,5,44.8,1.2,7.6,0.2,1.5,0.5,not fire
30,72,19,1.2,70.4,12.7,41.5,2.8,13.7,3.2,not fire
27,82,21,4.6,32.9,3.3,8.3,0.1,4,0.4,not fire
39,53,15,0.8,93.8,11.6,9.8,9.9,10.4,18.4,fire
32,81,13,3.9,62.8,3.6,44.5,1,4.4,0.3,fire
31,81,19,1.8,68.5,18.3,141.1,3,24.7,19.9,not fire
25,83,19,1.4,67.5,2.8,27.1,3,3.7,0.8,not fire
30,54,17,1.7,79.9,10.9,7.4,3.9,12,0,fire
39,30,16,0.6,94.2,23.9,181.3,14.3,20.8,0.2,fire
35,51,15,1.1,88.3,17.2,57,3.9,20.1,14.6,fire
33,33,14,0.6,95.2,45.1,141.1,15.3,54,10.7,fire
33,65,16,3.8,68.1,6.3,46.3,1.2,7.8,0.1,not fire
28,78,21,1.8,62.6,6.4,117.1,1.8,9.3,3,fire
29,55,14,1,79.7,13.4,24.3,2.5,14.2,0,fire
37,64,20,0.2,92.8,32,84.4,10.9,40.5,12.1,fire
26,59,19,1.2,76.5,31.8,90.4,7.2,38.9,13.7,fire
30,73,14,2.7,61.4,14.5,7.6,1,10.6,7.1,not fire
42,27,14,2.4,94.9,44.5,117.8,11.1,50.7,21.6,fire
32,70,20,0.7,75.4,11.6,80.6,4.3,11.3,18.1,not fire
26,78,9,4.8,35.9,1,30.5,0,1.5,0.4,not fire
29,66,17,0.9,79.1,8.8,24,4,11.5,10.2,not fire
32,61,15,1.9,86.7,7.4,10,4.4,9.6,10.9,not fire
36,54,17,0.5,93.1,25.9,16,9.4,27.8,2.6,fire
30,68,11,0.4,89.2,15.2,18.7,3.7,15.2,0,fire
32,40,14,3.8,75.4,8.1,9.8,2.5,10.4,0.5,fire
30,42,14,2.7,85,3.5,24.1,4.3,3.3,0.1,not fire
35,67,16,3,72.9,9.4,47.2,1,11.5,10.5,not fire
28,66,13,2,71.1,15.3,17.7,1.6,18.2,26.3,fire
31,78,21,1.5,80.2,18.2,54.2,5,21,0.3,not fire
34,48,18,0.2,94.6,50,9.8,17.7,56.6,2.3,fire
30,69,13,0.6,89.2,23.4,50.2,5.5,27.9,11.9,fire
34,45,15,1.4,88.7,9.8,7.8,4.1,10.7,1.2,not fire
32,65,17,0.3,83.7,35.9,55.8,7.4,37.7,12.6,fire
32,63,18,3.8,72.2,14.2,110.9,3.2,18.9,0,not fire
29,84,19,0.8,54.8,8.8,61.1,1.4,13.2,0.3,not fire
36,45,19,1.7,87.4,20.9,177.3,8,22.9,0.7,fire
32,46,19,1,91.3,27,17.6,6.8,30.7,1.3,fire
33,56,16,2.2,82.8,9.9,7,6.5,11.7,13.7,not fire
38,25,17,0.6,93.7,24.7,26.1,13.2,28.2,1.4,fire
35,51,14,2.4,83.6,18.9,46.4,7.7,22.5,26.9,fire
28,73,16,1.5,74.1,10.2,33.1,4,10.3,15.2,not fire
28,67,17,3.4,53.4,8.3,80.6,0.4,11.5,0.8,not fire
31,46,19,1.6,88.6,12.5,9.5,9.2,13.5,3.9,fire
32,72,13,2,79.7,7.1,28.1,2.2,7.8,0.5,fire
36,47,14,1.2,90.3,7.7,117.1,8.2,11.7,18.8,not fire
36,63,13,0.5,83.3,33.3,166,6.4,35.6,6.3,not fire
33,75,16,1.4,69.4,5.3,7.9,2.8,7.3,5.6,fire
29,83,17,1.6,84.1,9.2,24.3,2.1,9.9,13.5,fire
37,24,13,0.8,93.1,8.1,20.2,9.9,9.2,5.2,fire
34,53,13,0.4,89.3,33.2,41.3,9.5,39.9,1,fire
35,50,13,0.4,92.3,39.9,28.9,8.9,46,11.6,fire
34,79,13,2.2,67.5,8.4,57,2.2,12.6,30,not fire
35,47,17,0.9,91.9,23.2,7,9.6,21.8,31.1,fire
31,62,15,3.8,60.4,1.7,15.7,1.3,1.9,19.3,fire
33,56,12,0.3,91,26,28.1,7.9,30.6,8.3,fire
36,60,19,2.2,68.8,14.6,54.2,4.6,16.7,5.6,fire
36,60,12,0.2,92,11.4,27.3,7.4,11,6,fire
32,42,13,0.8,90,10.6,181.3,5.2,11.4,15.7,fire
32,78,18,2.6,78.2,19.6,19.7,5.2,21.3,3,not fire
39,44,15,0.6,93.4,19.8,7.8,11.3,18.5,13.9,fire
26,89,16,2.4,53.4,2.3,86,0.4,3.9,0.8,not fire
33,87,15,3,49.1,5.2,9.1,0.1,6.1,0.5,not fire
34,59,14,1.3,75.9,1.1,8.7,1.7,1.8,13.2,fire
37,66,17,1.7,86.8,20.7,49.8,4.8,22.6,31.1,not fire
32,60,19,1.3,74.7,9.8,34.5,4.8,10.5,9.9,not fire
34,55,12,2.1,83.7,17.6,71.5,3.6,19.6,0.3,not fire
38,37,16,0.7,94.8,33.6,24,13,35.4,9.5,fire
29,66,13,3.9,66,4.6,28.9,1.6,5.6,0.1,not fire
30,74,13,1.4,75.6,5.7,36.1,4.6,7.5,5.9,not fire
31,56,12,2.2,82.4,22.7,8.4,3.3,22.9,9.7,fire
32,71,18,3.7,72.6,8.9,46.3,2.3,12.3,15,fire
26,83,19,0.9,56.4,17,7,2.1,19.8,0.4,not fire
27,39,16,5.3,66.7,3.1,117.1,1.8,4.8,0.1,not fire
34,62,14,0.8,90.3,9.5,67,7.1,13.7,11.9,not fire
